"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Carex filifolia",-104.832363,42.852688,"ambcol","US",NA,"PRESENT",574,"KU","318051788",NA,"PRESERVED_SPECIMEN",1978,6,1,"1978-06-01","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","208369"
"Carex filifolia",-114.606995,47.927733,"cdc,incomis,inmafu","US",NA,"PRESENT",713,"MONTU","4069869158",NA,"PRESERVED_SPECIMEN",1977,6,7,"1977-06-07","WGS84",NA,"94919"
"Carex filifolia",-119.745081,39.21654,"cdc,colmafu,inmafu","US",NA,"PRESENT",301,"RENO","4404899833","https://intermountainbiota.org/portal/collections/individual/index.php?occid=13354657","PRESERVED_SPECIMEN",1976,4,29,"1976-04-29","WGS84",NA,"89334"
"Carex filifolia",-119.710534,39.257606,"cdc,colmafu,inmafu","US",NA,"PRESENT",500,"RENO","4404900413","https://intermountainbiota.org/portal/collections/individual/index.php?occid=13354594","PRESERVED_SPECIMEN",1976,6,14,"1976-06-14","WGS84",NA,"89331"
"Carex filifolia",-118.617919,36.305071,"cdc,inmafu","US",NA,"PRESENT",379,"LOB","2412534743","https://cch2.org/portal/collections/individual/index.php?occid=249081","PRESERVED_SPECIMEN",1976,7,13,"1976-07-13","WGS84",NA,"LOB117204"
"Carex filifolia",-111.714353,46.653782,"cdc,incomis,inmafu","US",NA,"PRESENT",969,"MONTU","4069936524",NA,"PRESERVED_SPECIMEN",1975,5,17,"1975-05-17","WGS84",NA,"140372"
"Carex filifolia",-111.716233,46.655313,"cdc,cdrep,incomis,inmafu","US",NA,"PRESENT",800,"ID","4073879492",NA,"PRESERVED_SPECIMEN",1975,5,17,"1975-05-17","WGS84",NA,"119054"
"Carex filifolia",-106.148342,45.569166,"ambcol","US",NA,"PRESENT",979,"KU","318051766",NA,"PRESERVED_SPECIMEN",1975,6,12,"1975-06-12","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","208360"
"Carex filifolia",-118.44,36.97,"cdc,gass84,inmafu","US",NA,"PRESENT",1000,"SFV","2575148010","https://cch2.org/portal/collections/individual/index.php?occid=3755885","PRESERVED_SPECIMEN",1975,8,3,"1975-08-03","WGS84",NA,"SFV114337"
"Carex filifolia",-104.572,40.9229,"cdc,ambinst","US",NA,"PRESENT",500,"GREE","3892740821","https://www.soroherbaria.org/portal/collections/individual/index.php?occid=21993628","PRESERVED_SPECIMEN",1974,5,5,"1974-05-05","WGS84",NA,"20947"
"Carex filifolia",-104.7053,40.952,"cdc,ambinst","US",NA,"PRESENT",500,"GREE","3892740819","https://www.soroherbaria.org/portal/collections/individual/index.php?occid=21993629","PRESERVED_SPECIMEN",1974,5,23,"1974-05-23","WGS84",NA,"20948"
"Carex filifolia",-104.432867,45.835076,"ambcol","US",NA,"PRESENT",314,"KU","318051928",NA,"PRESERVED_SPECIMEN",1974,6,14,"1974-06-14","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","208339"
"Carex filifolia",-110.26487,49.552494,"colmafu,inmafu,diffown","CA",NA,"PRESENT",500,"Université de Montréal Biodiversity Centre","473254354",NA,"PRESERVED_SPECIMEN",1974,6,7,"1974-06-07","WGS84","Marie-Victorin Herbarium (MT)","MT00107101"
"Carex filifolia",-119.977965,39.570562,"cdc,colmafu,inmafu","US",NA,"PRESENT",200,"RENO","4404899901","https://intermountainbiota.org/portal/collections/individual/index.php?occid=13354689","PRESERVED_SPECIMEN",1974,6,1,"1974-06-01","WGS84",NA,"89336"
"Carex filifolia",-119.2639,37.9165,"cdc,inmafu","US",NA,"PRESENT",600,"HSC","2982052744","https://cch2.org/portal/collections/individual/index.php?occid=1791357","PRESERVED_SPECIMEN",1974,7,11,"1974-07-11","WGS84",NA,NA
"Carex filifolia",-105.240395,43.640853,"ambcol","US",NA,"PRESENT",332,"KU","318051844",NA,"PRESERVED_SPECIMEN",1973,6,13,"1973-06-13","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","208354"
"Carex filifolia",-119.879264,39.25338,"cdc,colmafu,inmafu","US",NA,"PRESENT",1000,"RENO","4404900420","https://intermountainbiota.org/portal/collections/individual/index.php?occid=13354599","PRESERVED_SPECIMEN",1973,6,27,"1973-06-27","WGS84",NA,"89332"
"Carex filifolia",-102.560758,43.808589,"cdc,inmafu","US",NA,"PRESENT",144,"BHSC","2512288110","https://ngpherbaria.org/portal/collections/individual/index.php?occid=21119998","PRESERVED_SPECIMEN",1973,6,12,"1973-06-12","WGS84",NA,"BHSC0050507"
"Carex filifolia",-119.879221,39.253446,"cdc,colmafu,inmafu","US",NA,"PRESENT",1000,"RENO","4404899781","https://intermountainbiota.org/portal/collections/individual/index.php?occid=13354613","PRESERVED_SPECIMEN",1973,7,4,"1973-07-04","WGS84",NA,"89333"
"Carex filifolia",-120.626012,39.407686,"cdc,incomis,inmafu","US",NA,"PRESENT",958,"ID","4073903166",NA,"PRESERVED_SPECIMEN",1973,7,24,"1973-07-24","WGS84",NA,"172514"
"Carex filifolia",-118.6415,37.1732,"cdc,inmafu","US",NA,"PRESENT",600,"SJSU","2451549711","https://cch2.org/portal/collections/individual/index.php?occid=364240","PRESERVED_SPECIMEN",1971,7,20,"1971-07-20","WGS84",NA,"7467"
"Carex filifolia",-118.878889,37.547222,"cdc,inmafu","US",NA,"PRESENT",800,"DAV","2421775709","https://cch2.org/portal/collections/individual/index.php?occid=1400605","PRESERVED_SPECIMEN",1971,9,13,"1971-09-13","WGS84",NA,"DAV332424"
"Carex filifolia",-104.786366,40.823398,"cdc,colmafu,inmafu","US",NA,"PRESENT",500,"ASU","2270560595","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3099908","PRESERVED_SPECIMEN",1970,7,17,"1970-07-17","WGS84",NA,"ASU0060215"
"Carex filifolia",-113.447452,45.124123,"cdc,incomis,inmafu","US",NA,"PRESENT",969,"MONTU","4069902237",NA,"PRESERVED_SPECIMEN",1970,7,6,"1970-07-06","WGS84",NA,"140377"
